# proper	bayer	flam	hr	hd	hip	con	ra_rad	dec_rad	mag	dist_pc
Bharani		41	838	17573	13209	Ari	0.7416942	0.4757856	3.610	50.787
	Omi	1	1030	21120	15900	Tau	0.8936663	0.1575835	3.610	89.206
	Lam	41	3994	88284	49841	Hya	2.6641928	-0.2156194	3.610	34.507
	Del		4923	112985	63613	Mus	3.4132772	-1.2487631	3.610	27.871
	Eta		6582	160635	86929	Pav	4.6501386	-1.1296447	3.610	107.991
Alpherg	Eta	99	437	9270	7097	Psc	0.3991720	0.2678351	3.620	107.181
Atlas		27	1178	23850	17847	Tau	0.9999094	0.4198113	3.620	117.233
	Zet-2		6271	152334	82729	Sco	4.4269572	-0.7393444	3.620	40.568
Alfarasalkamil	Omi	1	8762	217675	113726	And	6.0297678	0.7387277	3.620	210.526
	Lam		4520	102249	57363	Mus	3.0787978	-1.1646366	3.630	38.986
Rotanev	Bet	6	7882	196524	101769	Del	5.3998261	0.2547323	3.640	30.931
Prima Hyadum	Gam	54	1346	27371	20205	Tau	1.1335623	0.2727538	3.650	49.529
		23	3757	81937	46733	UMa	2.4937579	1.1006371	3.650	23.815
Zhou	Bet	28	5867	141003	77233	Ser	4.1285222	0.2691616	3.650	47.551
	The		6743	165024	88714	Ara	4.7413232	-0.8742612	3.650	249.377
	Zet-1	55	8558	213051	110960	Aqr	5.8853893	-0.0003486	3.650	28.169
Nusakan	Bet	3	5747	137909	75695	CrB	4.0484182	0.5079903	3.660	34.282
	Tau	40	5812	139365	76600	Lib	4.0956603	-0.5197198	3.660	112.486
Thuban	Alp	11	5291	123299	68756	Dra	3.6843459	1.1235705	3.670	92.937
	Bet		7986	198700	103227	Ind	5.4751409	-1.0202175	3.670	187.617
	Pi-4	3	1552	30836	22549	Ori	1.2706262	0.0978275	3.680	322.581
	Alp		3468	74575	42828	Pyx	2.2846025	-0.5792117	3.680	269.542
	Del	7	7536	187076	97365	Sge	5.1809562	0.3234843	3.680	182.149
Safina		88	8812	218594	114341	Aqr	6.0626044	-0.3695283	3.680	82.988
Fulu	Zet	17	153	3360	2920	Cas	0.1613177	0.9406785	3.690	181.818
	Chi		566	11937	9007	Eri	0.5059440	-0.9007452	3.690	17.851
Saclateni	Zet	8	1612	32068	23453	Aur	1.3198096	0.7169086	3.690	240.964
Taiyangshou	Chi	63	4518	102224	57399	UMa	3.0807282	0.8339079	3.690	56.306
Nashira	Gam	40	8278	206088	106985	Cap	5.6727165	-0.2908121	3.690	48.146
	Tau-4	16	1003	20720	15474	Eri	0.8705557	-0.3797464	3.700	93.371
	Xi	92	6703	163993	87933	Her	4.7026354	0.5104718	3.700	41.946
	Gam	6	8852	219615	114971	Psc	6.0962851	0.0572867	3.700	42.301
	Pi-5	8	1567	31237	22797	Ori	1.2839148	0.0425978	3.710	411.523
	Eta	16	2085	40136	28103	Lep	1.5551097	-0.2472730	3.710	14.879
	Eps	37	5892	141795	77622	Ser	4.1487179	0.0781511	3.710	21.598
		72	6771	165777	88771	Oph	4.7444583	0.1669206	3.710	26.631
Alshain	Bet	60	7602	188512	98036	Aql	5.2155378	0.1118191	3.710	13.699
Ran	Eps	18	1084	22049	16537	Eri	0.9290862	-0.1650778	3.720	3.216
Electra		17	1142	23302	17499	Tau	0.9812049	0.4208572	3.720	124.070
	Del	33	2077	40035	28358	Aur	1.5687311	0.9474460	3.720	38.640
	Xi	62	8079	200905	104060	Cyg	5.5193027	0.7666857	3.720	258.398
	Xi	2	1038	21364	16083	Tau	0.9039462	0.1698673	3.730	64.103
		109	5511	130109	72220	Vir	3.8669896	0.0330371	3.730	41.237
Grumium	Xi	32	6688	163588	87585	Dra	4.6841498	0.9926149	3.730	34.507
	Nu		8254	205478	107089	Oct	5.6787568	-1.3507111	3.730	21.200
	Lam	73	8698	216386	112961	Aqr	5.9891610	-0.1322890	3.730	118.064
Baten Kaitos	Zet	55	539	11353	8645	Cet	0.4863384	-0.1803804	3.740	72.046
	Gam	20	6095	147547	80170	Her	4.2844354	0.3342852	3.740	59.067
	Tau	65	8130	202444	104887	Cyg	5.5623251	0.6640160	3.740	20.342
Bake-eo	Gam	62	6629	161868	87108	Oph	4.6595608	0.0472509	3.750	31.516
	Bet		1922	37350	26069	Dor	1.4557149	-1.0906532	3.760	308.642
	Del	15	2035	39364	27654	Lep	1.5329290	-0.3644088	3.760	34.867
	Bet	11	2356	45725	30867	Mon	1.6965378	-0.1227501	3.760	207.469
	Omi	39	7217	177241	93683	Sgr	4.9946217	-0.3794607	3.760	43.554
	Iot-2	10	7420	184006	95853	Cyg	5.1038046	0.9028550	3.760	37.202
Stellio	Alp	7	8585	213558	111169	Lac	5.8961190	0.8775950	3.760	31.456
Miram	Eta	15	834	17506	13268	Per	0.7448049	0.9755604	3.770	269.542
	Nu	41	1135	23230	17529	Per	0.9825938	0.7431359	3.770	170.649
Secunda Hyadum	Del-1	61	1373	27697	20455	Tau	1.1472697	0.3061746	3.770	47.710
	Sig	48	1931	37468	26549	Ori	1.4780588	-0.0453798	3.770	328.947
	Bet		3347	71878	41312	Vol	2.2066943	-1.1543065	3.770	32.971
	Eta		6229	151249	82363	Ara	4.4060208	-1.0304664	3.770	91.743
Sualocin	Alp	9	7906	196867	101958	Del	5.4089416	0.2777180	3.770	77.821
	Zet	34	8204	204075	105881	Cap	5.6141443	-0.3911515	3.770	118.203
	Iot	24	8430	210027	109176	Peg	5.7901769	0.4423556	3.770	11.726
	Gam-2		2736	55865	34481	Vol	1.8707630	-1.2304385	3.780	42.863
	Iot	60	2821	58207	36046	Gem	1.9448499	0.4851680	3.780	36.900
	Ups	29	3888	84999	48319	UMa	2.5786891	1.0304203	3.780	35.638
	Zet	30	5477	129246	71795	Boo	3.8447386	0.2396040	3.780	53.879
Albali	Eps	2	7950	198001	102618	Aqr	5.4440129	-0.1657326	3.780	63.694
Misam	Kap	27	941	19476	14668	Per	0.8268301	0.7829118	3.790	34.566
Praecipua		46	4247	94264	53229	LMi	2.8506095	0.5971622	3.790	29.087
Dalim	Alp		963	20010	14879	For	0.8380850	-0.5059294	3.800	14.237
	Del	13	5788	138917	76276	Ser	4.0788452	0.1839379	3.800	69.930
	Kap	1	7328	181276	94779	Cyg	5.0488117	0.9314553	3.800	38.066
		31	7735	192577	99675	Cyg	5.2954675	0.8157901	3.800	271.003
Theemin	Ups-2	52	1464	29291	21393	Eri	1.2023168	-0.5334135	3.810	65.574
	Gam	8	5849	140436	76952	CrB	4.1134918	0.4589455	3.810	44.783
Udkadua	Lam	16	8961	222107	116584	And	6.1852869	0.8108477	3.810	26.406
Alrescha	Alp	113	595	12446	9487	Psc	0.5325305	0.0482367	3.820	46.168
		38	3690	80081	45688	Lyn	2.4384176	0.6423265	3.820	38.270
Giausar	Lam	1	4434	100029	56211	Dra	3.0168208	1.2100555	3.820	102.145
Marfik	Lam	10	6149	148857	80883	Oph	4.3236767	0.0346260	3.820	53.079
	Iot	85	6588	160762	86414	Her	4.6227873	0.8029620	3.820	139.470
	Mu	42	4094	90432	51069	Hya	2.7318352	-0.2938487	3.830	71.787
	Phi		5248	121743	68245	Cen	3.6576480	-0.7347968	3.830	161.031
Paradys	Alp		5470	129078	72370	Aps	3.8740290	-1.3795912	3.830	136.986
	Bet		1175	23817	17440	Ret	0.9782378	-1.1310938	3.840	29.860
Atik	Omi	38	1131	23180	17448	Per	0.9787756	0.5635362	3.840	343.643
	The-1	77	1411	28307	20885	Tau	1.1718790	0.2785926	3.840	47.326
Shaomin	Rho	47	4133	91316	51624	Leo	2.7611597	0.1624306	3.840	0.000
	Gam		4773	109026	61199	Mus	3.2832611	-1.2589581	3.840	99.602
	Omi	103	6779	166014	88794	Her	4.7452994	0.5020001	3.840	103.627
Polis	Mu	13	6812	166937	89341	Sgr	4.7724435	-0.3675460	3.840	0.000
	Eps	63	7582	188119	97433	Dra	5.1843740	1.2264067	3.840	45.372
	Alp		1326	26967	19747	Hor	1.1082918	-0.7381760	3.850	35.261
	Bet		2020	39060	27321	Pic	1.5153157	-0.8912788	3.850	19.440
	Del		2296	44762	30277	Col	1.6672862	-0.5835753	3.850	71.736
	Kap	5	4787	109387	61281	Dra	3.2876919	1.2180345	3.850	150.376
	Tau		4802	109787	61622	Cen	3.3061059	-0.8472056	3.850	40.241
	Gam	41	5933	142860	78072	Ser	4.1733132	0.2733468	3.850	11.254
Tusizuo		109	6895	169414	90139	Her	4.8157911	0.3799539	3.850	36.470
	Alp		6973	171443	91117	Sct	4.8660090	-0.1438862	3.850	61.050
	Mu	37	269	5448	4436	And	0.2476322	0.6719403	3.860	39.777
Sceptrum		53	1481	29503	21594	Eri	1.2137911	-0.2496522	3.860	33.681
	Eps		1862	36597	25859	Col	1.4451873	-0.6190773	3.860	80.710
	Del		6030	145544	79664	TrA	4.2561503	-1.1115248	3.860	186.220
	Gam		6102	147675	81065	Aps	4.3347718	-1.3770150	3.860	47.916
	The	91	6695	163770	87808	Her	4.6960396	0.6501446	3.860	230.947
Sadachbia	Gam	48	8518	212061	110395	Aqr	5.8540798	-0.0242135	3.860	50.201
Maia		20	1149	23408	17573	Tau	0.9853551	0.4252974	3.870	117.509
	Ups-1		5249	121790	68282	Cen	3.6594286	-0.7819701	3.870	131.062
	Mu	107	5487	129502	71957	Vir	3.8530778	-0.0987543	3.870	18.271
Iklil	Rho	5	5928	142669	78104	Sco	4.1751968	-0.5098818	3.870	144.718
	Eta	55	7570	187929	97804	Aql	5.2031441	0.0175521	3.870	423.729
	Eps		25	496	765	Phe	0.0410597	-0.7984432	3.880	44.209
Mesarthim	Gam-2	5	546	11502	8832	Ari	0.4953689	0.3367412	3.880	50.302
Rasalas	Mu	24	3905	85503	48455	Leo	2.5864202	0.4539069	3.880	38.052
	Kap-1		5646	134481	74376	Lup	3.9790674	-0.8506354	3.880	55.188
	Iot		8820	218670	114421	Gru	6.0665830	-0.7897041	3.880	56.180
Azha	Eta	3	874	18322	13701	Eri	0.7698101	-0.1553019	3.890	41.858
	Omi-1	16	2580	50877	33152	CMa	1.8069941	-0.4220941	3.890	0.000
	The	22	3665	79469	45336	Hya	2.4188706	0.0403918	3.890	34.795
Zaniah	Eta	15	4689	107259	60129	Vir	3.2284487	-0.0116379	3.890	81.367
	Eta	21	7615	188947	98110	Cyg	5.2198708	0.6123213	3.890	41.374
Ukdah	Iot	35	3845	83618	47431	Hya	2.5300992	-0.0199458	3.900	80.710
	Pi		4390	98718	55425	Cen	2.9714537	-0.9510477	3.900	109.649
	Nu	38	1251	25490	18907	Tau	1.0609697	0.1045331	3.910	35.855
	Sig		4743	108483	60823	Cen	3.2639397	-0.8766900	3.910	126.263
	Pi		5605	133242	73807	Lup	3.9493232	-0.8211991	3.910	135.870
Zubenelhakrabi	Gam	38	5787	138905	76333	Lib	4.0820035	-0.2581261	3.910	50.025
	Tau	22	6092	147394	79992	Her	4.2749251	0.8083207	3.910	94.251
	Eps	58	6324	153808	83207	Her	4.4518534	0.5397676	3.920	47.529
	Rho-1	44	7340	181577	95168	Sgr	5.0687532	-0.3114924	3.920	38.926
Kitalpha	Alp	8	8131	202447	104987	Equ	5.5668317	0.0915922	3.920	58.343
	Kap		100	2262	2072	Phe	0.1143320	-0.7623568	3.930	23.809
	Del		440	9362	7083	Phe	0.3981578	-0.8564802	3.930	43.573
	Tau	18	854	17878	13531	Per	0.7603426	0.9208790	3.930	77.942
	Nu	48	1463	29248	21444	Eri	1.2056692	-0.0585114	3.930	207.039
	Zet		3024	63295	37504	Vol	2.0150710	-1.2672155	3.930	43.234
	Ome-1	9	5993	144470	78933	Sco	4.2184918	-0.3607455	3.930	144.509
		67	6714	164353	88192	Oph	4.7152045	0.0511655	3.930	377.358
Wurren	Zet		338	6882	5348	Phe	0.2983838	-0.9642204	3.940	91.575
	Alp	26	2970	61935	37447	Mon	2.0125706	-0.1666987	3.940	45.310
		3	2996	62623	37677	Pup	2.0237434	-0.5053570	3.940	0.000
Asellus Australis	Del	47	3461	74442	42911	Cnc	2.2893702	0.3168525	3.940	40.032
	Nu	58	8028	199629	103413	Cyg	5.4854547	0.7185021	3.940	114.811
		50	580	12216	9598	Cas	0.5385915	1.2639900	3.950	48.170
	Nu-2	7	2429	47205	31592	CMa	1.7308601	-0.3360785	3.950	19.751
	Zet	79	5055	116657		UMa	3.5078491	0.9585430	3.950	24.155
		48	1273	25940	19343	Per	1.0849901	0.8327404	3.960	146.199
	Eta		2120	40808	28328	Col	1.5670731	-0.7472651	3.960	144.718
Arkab Prior	Bet-1		7337	181454	95241	Sgr	5.0729661	-0.7759553	3.960	96.154
Rukbat	Alp		7348	181869	95347	Sgr	5.0784115	-0.7088819	3.960	55.741
		32	7751	192909	99848	Cyg	5.3034971	0.8327700	3.960	324.675
		98	8892	220321	115438	Aqr	6.1216137	-0.3508213	3.960	50.100
Beemim		43	1393	28028	20535	Eri	1.1520779	-0.5937060	3.970	90.826
	Nu	32	2012	39003	27673	Aur	1.5336643	0.6832699	3.970	70.621
	Del		2803	57623	35228	Vol	1.9060325	-1.1860760	3.970	226.244
	Bet		3438	74006	42515	Pyx	2.2693747	-0.6162470	3.970	127.551
	Rho		4638	105937	59449	Cen	3.1924346	-0.9140021	3.970	116.144
	Chi	5	5883	141556	77634	Lup	4.1493413	-0.5869048	3.970	59.844
	Eps		7590	188228	98495	Pav	5.2385650	-1.2725283	3.970	32.217
	Del-1		8556	213009	110997	Gru	5.8872987	-0.7591408	3.970	94.877
	Lam	47	8667	215665	112440	Peg	5.9626174	0.4112983	3.970	111.982
Menkib	Xi	46	1228	24912	18614	Per	1.0426816	0.6246714	3.980	381.679
	Rho	73	8252	205435	106481	Cyg	5.6460571	0.7957277	3.980	37.893
	Ups	59	585	12274	9347	Cet	0.5236208	-0.3678776	3.990	89.767
	Gam	5	2227	43232	29651	Mon	1.6356159	-0.1095155	3.990	152.672
Alcor		80	5062	116842	65477	UMa	3.5134558	0.9597209	3.990	25.056
	Gam		8848	219571	114996	Tuc	6.0974380	-1.0164053	3.990	23.057
	Alp		3615	78045	44382	Vol	2.3668699	-1.1588301	4.000	38.300
	Iot	78	4399	99028	55642	Leo	2.9841822	0.1837746	4.000	23.674
Jabbah	Nu	14	6027	145502	79374	Sco	4.2411308	-0.3396534	4.000	145.349
	Phi		496	10516	8068	Per	0.4523042	0.8846853	4.010	220.264
	Mu	57	1520	30211	22109	Eri	1.2457397	-0.0568045	4.010	160.000
Mekbuda	Zet	43	2650	52973	34088	Gem	1.8505240	0.3590194	4.010	421.941
	Ome	28	2749	56139	35037	CMa	1.8972205	-0.4672712	4.010	279.330
	The	13	5986	144284	78527	Dra	4.1970454	1.0221565	4.010	21.035
	Gam-2		6072	146686	80000	Nor	4.2753640	-0.8753787	4.010	39.479
	Zet		6982	171759	91792	Pav	4.9001671	-1.2466558	4.010	66.979
		41	7834	195295	101076	Cyg	5.3642502	0.5300313	4.010	235.849
	Gam		3518	75691	43409	Pyx	2.3148835	-0.4836280	4.020	63.573
Alchiba	Alp	1	4623	105452	59199	Crv	3.1783035	-0.4316003	4.020	14.937
	Eps	13	7176	176411	93244	Aql	4.9725418	0.2629914	4.020	47.506
		12	7193	176678	93429	Aql	4.9815207	-0.1001665	4.020	44.131
	Gam	9	664	14055	10670	Tri	0.5991469	0.5907450	4.030	34.435
	Bet	10	1603	31910	23522	Cam	1.3239118	1.0549162	4.030	267.380
	Iot	48	3475	74739	43103	Cnc	2.2981494	0.5019549	4.030	101.523
	Mu-1		4898	112092	63003	Cru	3.3798039	-0.9979430	4.030	127.065
		70	6752	165341	88601	Oph	4.7361898	0.0436350	4.030	5.083
Aldulfin	Eps	2	7852	195810	101421	Del	5.3809061	0.1972792	4.030	101.317
	Ome	28	9072	224617	118268	Psc	6.2801811	0.1197876	4.030	31.990
Beid	Omi-1	38	1298	26574	19587	Eri	1.0989713	-0.1193383	4.040	37.313
	Nu	3	4517	102212	57380	Vir	3.0798923	0.1139591	4.040	90.090
	The	23	5404	126660	70497	Boo	3.7751386	0.9049662	4.040	14.531
	Eta	62	8597	213998	111497	Aqr	5.9138577	-0.0020507	4.040	51.467
	Iot		937	19373	14632	Per	0.8249313	0.8659150	4.050	10.541
	Alp		3318	71243	40702	Cha	2.1752134	-1.3425024	4.050	19.562
	Sig	77	4386	98664	55434	Leo	2.9720190	0.1052315	4.050	67.476
	Ups	5	5200	120477	67459	Boo	3.6192779	0.2757255	4.050	80.775
	Psi		5367	125473	70090	Cen	3.7548898	-0.6612231	4.050	79.365
	Rho		5453	128345	71536	Lup	3.8305057	-0.8626434	4.050	96.899
	Tau-2	71	8679	216032	112716	Aqr	5.9759712	-0.2372362	4.050	97.371
	Omi-2	9	1580	31421	22957	Ori	1.2931636	0.2358719	4.060	57.013
	Ups	69	2905	60522	36962	Gem	1.9893371	0.4694192	4.060	83.056
	Gam	15	4405	99211	55705	Crt	2.9883619	-0.3086442	4.060	25.240
	Eps		4671	106849	59929	Mus	3.2182782	-1.1861386	4.060	92.421
	Zet		4679	106983	60009	Cru	3.2220431	-1.1170643	4.060	109.649
	Eps-1		6295	152980	83153	Ara	4.4487750	-0.9278247	4.060	110.620
Syrma	Iot	99	5338	124850	69701	Vir	3.7350678	-0.1047293	4.070	22.237
	Lam		5626	133955	74117	Lup	3.9655785	-0.7902826	4.070	238.095
	Bet		5670	135379	74824	Cir	4.0034146	-1.0262747	4.070	30.553
	Del	27	8571	213306	110991	Cep	5.8868688	1.0195375	4.070	265.252
Shimu	Zet	34	215	4502	3693	And	0.2065547	0.4235422	4.080	58.005
	Del		705	15008	11001	Hyi	0.6185006	-1.1983329	4.080	42.827
	Del	82	779	16582	12387	Cet	0.6958742	0.0057336	4.080	199.203
	Tau-3	11	919	18978	14146	Eri	0.7958344	-0.4123248	4.080	27.174
	The	14	2574	50778	33160	CMa	1.8072448	-0.2101137	4.080	79.936
Alkes	Alp	7	4287	95272	53740	Crt	2.8788100	-0.3193740	4.080	48.804
		13	7157	175865	92862	Lyr	4.9538332	0.7670039	4.080	91.408
	The	23	8075	200761	104139	Cap	5.5237362	-0.3007702	4.080	49.727
		1	8173	203504	105502	Peg	5.5941581	0.3456539	4.080	47.778
	Phi-2	40	1907	37160	26366	Ori	1.4700317	0.1621528	4.090	36.023
Gudja	Kap	35	5879	141477	77450	Ser	4.1396576	0.3166300	4.090	117.096
Titawin	Ups	50	458	9826	7513	And	0.4223607	0.7226616	4.100	13.492
	The	13	799	16895	12777	Per	0.7164491	0.8591985	4.100	11.127
	Zet		6905	169767	90568	Tel	4.8381848	-0.8564433	4.100	38.700
	Bet		7259	178345	94160	CrA	5.0179493	-0.6866264	4.100	145.349
	Iot		794	16815	12486	Eri	0.7010413	-0.6956075	4.110	46.189
Muliphein	Gam	23	2657	53244	34045	CMa	1.8489940	-0.2728523	4.110	135.501
Zhang	Ups-1	39	3903	85444	48356	Hya	2.5808106	-0.2591221	4.110	80.906
	Gam		4174	92305	51839	Cha	2.7727607	-1.3719647	4.110	128.041
	Eps		5771	138538	76440	TrA	4.0872121	-1.1574507	4.110	61.843
Meridiana	Alp		7254	178253	94114	CrA	5.0155184	-0.6615579	4.110	38.432
	Zet		8747	217364	113638	Gru	6.0252283	-0.9207334	4.110	33.378
	Eps		806	16978	12394	Hyi	0.6963336	-1.1914830	4.120	46.555
	Mu	51	1303	26630	19812	Per	1.1122009	0.8449022	4.120	276.243
	Mu	61	2124	40932	28614	Ori	1.5811955	0.1683767	4.120	47.506
	Omi	9	4608	104979	58948	Vir	3.1643213	0.1524193	4.120	50.050
	Iot		7581	188114	98032	Sgr	5.2153123	-0.7307395	4.120	55.741
	Ome	18	7980	198542	102978	Cap	5.4621018	-0.4698275	4.120	258.398
	Del-2		8560	213080	111043	Gru	5.8894271	-0.7635680	4.120	101.215
		29	1784	35369	25247	Ori	1.4134860	-0.1362764	4.130	48.239
	Nu	18	2343	45542	30883	Gem	1.6971718	0.3527683	4.130	166.945
	The	46	5908	142198	77853	Lib	4.1618493	-0.2919813	4.130	51.653
	Psi	16	7936	197692	102485	Cap	5.4371178	-0.4410604	4.130	14.678
	Bet		8630	214846	112405	Oct	5.9605678	-1.4203771	4.130	45.767
	Iot	17	8969	222368	116771	Psc	6.1957036	0.0981973	4.130	13.714
		5	1066	21754	16369	Tau	0.9201069	0.2257876	4.140	104.932
Merope		23	1156	23480	17608	Tau	0.9875344	0.4179777	4.140	116.550
	Del	4	3410	73262	42313	Hya	2.2587009	0.0995498	4.140	49.164
	Eta		4616	105211	59072	Cru	3.1716176	-1.1277223	4.140	19.755
	The	4	5778	138749	76127	CrB	4.0706739	0.5473201	4.140	115.075
	Eps	13	5947	143107	78159	CrB	4.1782642	0.4691075	4.140	67.889
	Kap	10	8315	206901	107354	Peg	5.6925900	0.4475903	4.140	34.223
		1	8498	211388	109937	Lac	5.8292670	0.6588397	4.140	190.476
	Del	22	2714	55185	34769	Mon	1.8843636	-0.0086004	4.150	117.786
	Rho	75	6484	157778	85112	Her	4.5539240	0.6483191	4.150	120.627
Kaffalmusalsala	Kap	19	8976	222439	116805	And	6.1976997	0.7737731	4.150	51.626
		1	2134	41116	28734	Gem	1.5887743	0.4060219	4.160	47.551
	Rho	62	2852	58946	36366	Gem	1.9596195	0.5547451	4.160	18.047
		44	6486	157792	85340	Oph	4.5656516	-0.4219387	4.160	25.497
	Kap	15	130	2905	2599	Cas	0.1439889	1.0983668	4.170	0.000
Ancha	The	43	8499	211391	110003	Aqr	5.8330384	-0.1358440	4.170	57.471
Kang	Kap	98	5315	124294	69427	Vir	3.7214598	-0.1793099	4.180	78.125
Xuange	Lam	19	5351	125162	69732	Boo	3.7366821	0.8043927	4.180	30.358
	Eps	23	8494	211336	109857	Cep	5.8251787	0.9955984	4.180	26.199
	Eps	18	8628	214748	111954	PsA	5.9369802	-0.4720002	4.180	149.254
		2	5192	120323	67457	Cen	3.6191385	-0.6012795	4.190	56.117
		110	7061	173667	92043	Her	4.9116275	0.3586007	4.190	19.209
		32	1839	36267	25813	Ori	1.4433183	0.1038146	4.200	92.850
		11	3102	65228	38835	Pup	2.0806900	-0.3993334	4.200	160.000
	Bet	31	4100	90537	51233	LMi	2.7396592	0.6406617	4.200	47.192
	Sig	35	6168	149630	81126	Her	4.3375929	0.7406661	4.200	96.525
	Xi	46	8665	215648	112447	Peg	5.9633230	0.2124570	4.200	16.297
	Del	23	8720	216763	113246	PsA	6.0037071	-0.5679236	4.200	47.259
	Kap-1	65	1387	27934	20635	Tau	1.1578922	0.3891015	4.210	47.192
	Eps	22	6322	153751	82080	UMi	4.3893702	1.4318203	4.210	93.197
	The	2	7850	195725	101093	Cep	5.3650587	1.0994545	4.210	41.841
	Gam		8181	203608	105858	Pav	5.6131635	-1.1408554	4.210	9.262
		16	840	17584	13254	Per	0.7443123	0.6687865	4.220	37.023
	Tau-6	27	1173	23754	17651	Eri	0.9898123	-0.4057842	4.220	17.627
	The		5987	144294	78918	Lup	4.2175552	-0.6423211	4.220	127.065
	Chi	7	6118	148184	80569	Oph	4.3067043	-0.3221223	4.220	161.031
	Phi	43	6920	170000	89908	Dra	4.8029598	1.2450797	4.220	92.850
	Bet		7063	173764	92175	Sct	4.9182268	-0.0828659	4.220	280.899
	Lam		7074	173948	92609	Pav	4.9402298	-1.0853783	4.220	438.596
	Del-2	12	7139	175588	92791	Lyr	4.9502108	0.6440023	4.220	225.734
		52	7942	197912	102453	Cyg	5.4352283	0.5361602	4.220	61.652
	Sig	67	8143	202850	105102	Cyg	5.5737782	0.6875669	4.220	884.956
	Phi	90	8834	219215	114724	Aqr	6.0838803	-0.1055750	4.220	61.958
	Zet		77	1581	1599	Tuc	0.0874781	-1.1322787	4.230	8.587
	Sig	75	2973	62044	37629	Gem	2.0215801	0.5041123	4.230	38.344
	Bet	43	4983	114710	64394	Com	3.4552032	0.4865661	4.230	9.129
		1	5168	119756	67153	Cen	3.6027448	-0.5767217	4.230	19.402
	Tau	93	5264	122408	68520	Vir	3.6723759	0.0269572	4.230	68.966
	Phi	11	6023	145389	79101	Her	4.2270554	0.7842621	4.230	62.539
	Bet		6163	149324	81852	Aps	4.3767952	-1.3529345	4.230	48.123
	Gam		7226	177474	93825	CrA	5.0021933	-0.6468790	4.230	17.304
Garnet Star	Mu		8316	206936	107259	Cep	5.6876250	1.0259053	4.230	0.000
	Pi-2	81	8335	207330	107533	Cyg	5.7019622	0.8606144	4.230	338.983
	Kap		721	15371	11407	Eri	0.6413443	-0.8325891	4.240	155.763
	Pi	89	811	17081	12770	Cet	0.7161195	-0.2418799	4.240	120.482
	Bet		4674	106911	60000	Cha	3.2216539	-1.3842597	4.240	91.491
Chara	Bet	8	4785	109358	61317	CVn	3.2888316	0.7218242	4.240	8.440
	Omi	56	6581	160613	86565	Ser	4.6312948	-0.2247165	4.240	53.107
	Psi-1	91	8841	219449	114855	Aqr	6.0907258	-0.1586109	4.240	45.935
	Kap		377	7788	5896	Tuc	0.3305752	-1.2021117	4.250	20.956
	Lam	47	1261	25642	19167	Per	1.0759262	0.8787953	4.250	129.366
		88	1458	29140	21402	Tau	1.2027689	0.1773392	4.250	47.893
		58	1454	29094	21476	Per	1.2072901	0.7202068	4.250	244.499
	Lam	69	1679	33328	23972	Eri	1.3489056	-0.1527875	4.250	248.756
Alsciaukat		31	3275	70272	41075	Lyn	2.1940327	0.7537751	4.250	117.233
		5	5430	127700	70692	UMi	3.7852939	1.3211443	4.250	110.011
	Nu	10	8334	207260	107418	Cep	5.6960949	1.0667593	4.250	0.000
	Phi	42	335	6811	5434	And	0.3032600	0.8245248	4.260	219.780
Torcular	Omi	110	510	10761	8198	Psc	0.4598673	0.1598326	4.260	85.690
82 G. Eri			1008	20794	15510	Eri	0.8723008	-0.7517095	4.260	6.043
	Tau-5	19	1088	22203	16611	Eri	0.9328257	-0.3775650	4.260	89.928
	Gam		1338	27290	19893	Dor	1.1171234	-0.8986115	4.260	20.462
	Alp	9	1542	30614	22783	Cam	1.2830360	1.1578982	4.260	0.000
Acubens	Alp	65	3572	76756	44066	Cnc	2.3495929	0.2069559	4.260	57.737
Bodu		95	6729	164668	88267	Her	4.7189636	0.3769175	4.260	127.877
Kurhah	Xi	17	8417	209790	108917	Cep	5.7761153	1.1279709	4.260	29.595
	Eps	71	294	6186	4906	Psc	0.2746427	0.1377088	4.270	55.741
	Mu	87	813	17094	12828	Cet	0.7196967	0.1765251	4.270	25.773
	Mu	49	1320	26912	19860	Tau	1.1149787	0.1552009	4.270	139.665
		90	1473	29388	21589	Tau	1.2136919	0.2183553	4.270	47.081
	Tau	94	1497	29763	21881	Tau	1.2315263	0.4006739	4.270	122.100
	Xi-2		4942	113791	64004	Cen	3.4335461	-0.8710283	4.270	143.267
	Mu		5683	135734	74911	Lup	4.0078599	-0.8355811	4.270	102.881
Arkab Posterior	Bet-2		7343	181623	95294	Sgr	5.0754985	-0.7819036	4.270	41.135
	Gam-2	12	7948	197964	102532	Del	5.4395733	0.2814221	4.270	38.730
	The	10	8916	220954	115830	Psc	6.1434205	0.1113344	4.270	45.537
	Ups	69	1392	28024	20711	Tau	1.1619863	0.3981721	4.280	47.148
	Alp		4104	90610	51172	Ant	2.7364660	-0.5422350	4.280	112.233
		45	6492	157919	85423	Oph	4.5699463	-0.5212781	4.280	34.211
		33	7740	192696	99655	Cyg	5.2944444	0.9872930	4.280	48.828
	Iot	32	8167	203387	105515	Cap	5.5948562	-0.2938182	4.280	60.314
	Pi-2	29	8454	210459	109410	Peg	5.8031649	0.5790692	4.280	80.645
	The		8787	218227	114131	Gru	6.0514012	-0.7595735	4.280	40.437
		10	1101	22484	16852	Tau	0.9462872	0.0070103	4.290	13.963
	Lam	6	1756	34816	24845	Lep	1.3944108	-0.2299783	4.290	261.097
