# Bright NGC / IC deep-sky object catalog (V <= 11.5 mag, plus large
# diffuse nebulae lacking integrated photometry).
#
# Source: OpenNGC (https://github.com/mattiaverga/OpenNGC) main NGC.csv
# and addendum.csv. Filter rules (see scripts/extract-openngc-bright.py):
#   - exclude Messier objects (covered by messier.csv);
#   - exclude OpenNGC types {*, **, *Ass, NonEx, Other};
#   - keep min(V-Mag, B-Mag - 0.6) <= 11.5 mag when photometry present;
#   - keep emission/reflection/diffuse nebulae (EmN/RfN/Neb/HII/Cl+N/SNR)
#     with major-axis >= 30 arcmin even when integrated magnitude is missing
#     (sentinel mag = 99.00; renderer treats them as faint until the
#     density slider is opened).
#
# Columns: name, ra_hours (J2000), dec_deg (J2000), mag, type, size_arcmin.
# Position units mirror crates/catalog/data/messier.csv. The renderer build
# script compacts this CSV into the i16 binary `openngc_bright.bin`.
#
# Type codes (normalised from OpenNGC):
#   OC  open cluster        GC  globular cluster
#   G   galaxy              N   diffuse / emission / reflection nebula
#   PN  planetary nebula    SNR supernova remnant
#   Other  anything else
name,ra_hours,dec_deg,mag,type,size_arcmin
NGC1427,3.705394,-35.3926,10.88,G,4.33
NGC1432,3.763775,24.3679,99.00,N,60.00
NGC1433,3.700431,-47.2221,9.95,G,6.19
NGC1435,3.769469,23.7650,99.00,N,30.00
NGC1439,3.747208,-21.9206,11.39,G,2.96
NGC1444,3.824689,52.6553,6.44,OC,3.60
NGC1448,3.742200,-44.6448,10.78,G,8.02
NGC1453,3.774236,-3.9688,11.41,G,2.46
NGC1466,3.742597,-71.6716,11.00,GC,3.50
NGC1493,3.957619,-46.2107,11.23,G,3.44
NGC1496,4.075525,52.6614,9.60,OC,2.10
NGC1499,4.054006,36.3675,4.40,N,160.00
NGC1501,4.116492,60.9207,11.50,PN,0.87
NGC1502,4.130361,62.3315,6.87,OC,10.20
NGC1511,3.993606,-67.6343,11.27,G,3.66
NGC1512,4.065078,-43.3489,10.37,G,8.43
NGC1513,4.165194,49.5173,8.11,OC,5.10
NGC1514,4.154708,30.7759,9.45,PN,2.20
NGC1515,4.067422,-54.1001,10.99,G,5.50
NGC1527,4.140039,-47.8970,10.80,G,4.58
NGC1528,4.255242,51.2115,6.23,OC,9.60
NGC1532,4.201203,-32.8742,10.06,G,11.27
NGC1533,4.164400,-56.1184,10.65,G,3.27
NGC1535,4.237714,-12.7394,9.00,PN,0.85
NGC1537,4.227975,-31.6454,10.72,G,4.35
NGC1543,4.212014,-57.7380,10.17,G,3.66
NGC1545,4.348961,50.2553,6.20,OC,4.20
NGC1546,4.243483,-56.0608,11.35,G,3.72
NGC1549,4.262536,-55.5922,9.75,G,5.09
NGC1553,4.269575,-55.7801,9.31,G,6.25
NGC1555,4.366508,19.5352,9.38,N,1.82
NGC1559,4.293269,-62.7837,10.42,G,4.19
NGC1560,4.546969,71.8831,11.50,G,8.30
NGC1566,4.333450,-54.9378,9.69,G,7.23
NGC1569,4.513628,64.8479,11.11,G,3.91
NGC1574,4.366339,-56.9748,10.24,G,4.13
NGC1582,4.529664,43.7848,7.00,OC,7.80
NGC1596,4.460586,-55.0278,11.14,G,3.87
NGC1600,4.527761,-5.0862,10.97,G,3.33
NGC1605,4.581189,45.2714,10.70,OC,3.30
NGC1615,4.600289,19.9503,11.41,G,1.36
NGC1617,4.527647,-54.6023,10.37,G,5.24
NGC1637,4.691161,-2.8580,10.85,G,3.18
NGC1647,4.765436,19.0951,6.22,OC,27.00
NGC1662,4.808042,10.9304,6.40,OC,13.80
NGC1664,4.851508,43.6762,7.42,OC,11.40
NGC1672,4.761806,-59.2472,9.74,G,6.14
NGC1688,4.806608,-59.8003,11.50,G,2.47
NGC1700,4.948975,-4.8658,11.16,G,3.11
NGC1703,4.881153,-59.7422,11.42,G,2.68
NGC1704,4.832072,-69.7563,11.18,OC,1.70
NGC1711,4.843369,-69.9854,10.62,GC,3.50
NGC1714,4.869125,-66.9234,10.91,OC,1.10
NGC1735,4.905461,-67.0996,10.28,OC,1.80
NGC1743,4.900742,-69.1986,11.26,N,0.95
NGC1744,4.999389,-26.0222,11.11,G,5.28
NGC1746,5.063942,23.7676,6.10,OC,18.00
NGC1747,4.919717,-67.1689,8.81,OC,4.40
NGC1755,4.920797,-68.2041,9.40,GC,2.20
NGC1763,4.946997,-66.4091,9.40,OC,5.20
NGC1767,4.940917,-69.4006,10.25,OC,1.30
NGC1772,4.947997,-69.5561,10.62,OC,1.50
NGC1774,4.968578,-67.2423,10.36,OC,1.70
NGC1778,5.134917,37.0228,7.60,OC,4.50
NGC1782,4.964192,-69.3922,10.15,OC,1.20
NGC1783,4.985781,-65.9873,10.30,GC,5.30
NGC1786,4.985506,-67.7452,9.50,GC,2.00
NGC1787,5.029003,-65.8233,10.49,OC,24.00
NGC1788,5.114783,-3.3410,5.20,N,2.00
NGC1792,5.087347,-37.9808,10.16,G,5.52
NGC1804,5.017572,-69.0826,11.42,OC,0.95
NGC1806,5.036769,-67.9857,10.50,GC,2.50
NGC1807,5.179175,16.5128,7.00,OC,5.40
NGC1808,5.128428,-37.5131,10.21,G,5.42
NGC1817,5.207297,16.6841,7.70,OC,9.30
NGC1818,5.070767,-66.4345,9.10,GC,3.10
NGC1820,5.067133,-67.2659,11.50,OC,7.00
NGC1831,5.104644,-64.9175,10.92,GC,3.80
NGC1832,5.200925,-15.6878,11.04,G,2.46
NGC1834,5.086494,-69.2075,11.22,OC,0.95
NGC1835,5.085161,-69.4039,10.60,GC,2.30
NGC1839,5.100653,-68.6268,11.30,OC,1.60
NGC1841,4.756486,-83.9991,11.43,GC,4.00
NGC1846,5.126094,-67.4615,11.31,GC,3.80
NGC1848,5.124211,-71.1954,9.18,OC,2.20
NGC1850,5.145758,-68.7617,8.24,GC,3.00
NGC1851,5.235203,-40.0466,7.23,GC,9.00
NGC1854,5.155525,-68.8474,9.58,GC,2.30
NGC1856,5.158158,-69.1276,9.80,GC,2.70
NGC1857,5.334878,39.3436,7.00,OC,4.50
NGC1858,5.164428,-68.8913,9.16,OC,4.40
NGC1860,5.177642,-68.7523,10.58,OC,1.10
NGC1866,5.227528,-65.4656,9.38,GC,5.50
NGC1868,5.243417,-63.9545,11.42,GC,2.70
NGC1870,5.219417,-69.1169,10.85,GC,1.10
NGC1871,5.231044,-67.4526,9.61,OC,2.30
NGC1872,5.219658,-69.3116,10.79,GC,1.70
NGC1873,5.232131,-67.3344,10.44,OC,2.80
NGC1876,5.221842,-69.3621,10.94,OC,1.50
NGC1877,5.227456,-69.3838,11.40,N,1.10
NGC1893,5.378928,33.4120,7.30,OC,6.00
NGC1902,5.305317,-66.6274,11.44,OC,1.70
NGC1903,5.289528,-69.3353,11.40,GC,1.90
NGC1907,5.467931,35.3257,8.20,OC,5.40
NGC1909,5.082067,-7.2656,99.00,N,180.00
NGC1910,5.311964,-69.2319,9.65,OC,3.60
NGC1913,5.305358,-69.5365,10.77,OC,1.30
NGC1916,5.310131,-69.4068,10.38,GC,2.10
NGC1922,5.330256,-69.4483,11.07,OC,1.00
NGC1923,5.359461,-65.4867,10.89,OC,0.95
NGC1926,5.343175,-69.5253,11.45,GC,1.40
NGC1931,5.523708,34.2466,10.10,OC,4.80
NGC1933,5.374256,-66.1522,7.50,OC,1.30
NGC1934,5.363303,-67.9372,10.50,OC,1.90
NGC1941,5.385472,-66.3786,11.47,OC,0.90
NGC1947,5.446558,-63.7600,10.47,G,3.48
NGC1948,5.429511,-66.2668,10.21,OC,7.00
NGC1951,5.435228,-66.5972,10.07,OC,1.70
NGC1953,5.424392,-68.8383,11.37,GC,1.20
NGC1955,5.436100,-67.4974,8.35,N,4.00
NGC1961,5.701292,69.3784,11.19,G,4.42
NGC1962,5.438258,-68.8376,11.47,OC,1.40
NGC1964,5.556044,-21.9458,10.91,G,5.16
NGC1967,5.445364,-69.1015,10.20,OC,0.95
NGC1970,5.447964,-68.8367,9.85,OC,1.50
NGC1971,5.445900,-69.8516,11.41,OC,1.10
NGC1973,5.584661,-4.7318,6.40,N,5.00
NGC1974,5.466394,-67.4241,10.30,OC,1.60
NGC1975,5.588300,-4.6852,6.40,N,10.00
NGC1978,5.479203,-66.2359,10.10,GC,4.00
NGC1980,5.590553,-5.9099,2.50,OC,9.30
NGC1981,5.585997,-4.4251,4.20,OC,9.00
NGC1984,5.461364,-69.1343,9.40,OC,1.50
NGC1986,5.460578,-69.9736,10.71,GC,2.80
NGC1987,5.454764,-70.7374,11.50,GC,1.70
NGC1999,5.607042,-6.7159,8.90,N,2.00
NGC2002,5.505750,-66.8850,10.68,GC,1.90
NGC2003,5.515333,-66.4666,10.75,GC,1.70
NGC2004,5.511875,-67.2864,9.00,GC,3.00
NGC2009,5.516433,-69.1817,10.69,OC,1.40
NGC2010,5.509703,-70.8197,11.36,OC,1.90
NGC2011,5.538947,-67.5231,10.02,OC,1.00
NGC2014,5.538853,-67.6898,8.57,N,5.10
NGC2018,5.523581,-71.0691,10.31,N,2.80
NGC2019,5.532406,-70.1596,10.30,GC,1.50
NGC2024,5.695158,-1.8563,99.00,N,30.00
NGC2025,5.542678,-71.7155,10.58,OC,1.90
NGC2027,5.583253,-66.9163,10.37,OC,4.60
NGC2031,5.561617,-70.9868,10.49,GC,3.30
NGC2035,5.592000,-67.5842,10.99,N,1.80
NGC2037,5.583508,-69.7316,9.61,OC,2.90
NGC2038,5.578408,-70.5629,11.50,OC,1.60
NGC2040,5.601647,-67.5686,11.47,N,2.10
NGC2041,5.607792,-66.9898,9.98,GC,2.60
NGC2042,5.602661,-68.9234,9.22,OC,4.50
NGC2048,5.598775,-69.6485,11.45,N,1.40
NGC2051,5.602039,-71.0114,11.43,OC,1.50
NGC2056,5.609436,-70.6719,11.20,OC,1.50
NGC2058,5.615061,-70.1623,11.49,OC,2.10
NGC2060,5.629694,-69.1717,9.09,SNR,2.20
NGC2065,5.627339,-70.2365,10.90,OC,2.30
NGC2069,5.646233,-68.9744,10.10,N,5.00
NGC2070,5.645100,-69.1009,4.40,N,16.00
NGC2071,5.785350,0.2943,7.40,OC,7.00
NGC2074,5.650994,-69.4981,7.90,OC,4.00
NGC2075,5.639264,-70.6850,10.88,OC,2.20
NGC2077,5.660006,-69.6571,11.11,N,1.30
NGC2078,5.660958,-69.7432,10.41,N,1.20
NGC2079,5.660444,-69.7572,11.09,N,1.10
NGC2080,5.662728,-69.6441,10.42,N,1.70
NGC2083,5.666450,-69.7376,10.83,N,2.00
NGC2090,5.783858,-34.2506,10.88,G,4.47
NGC2096,5.704944,-68.4586,11.22,OC,1.10
NGC2098,5.708619,-68.2732,10.29,OC,2.20
NGC2100,5.702519,-69.2118,9.00,GC,2.50
NGC2102,5.705692,-69.4871,11.44,OC,0.85
NGC2103,5.694542,-71.3331,10.82,N,4.00
NGC2107,5.720244,-70.6399,11.29,OC,1.70
NGC2112,5.895892,0.4108,9.10,OC,21.00
NGC2117,5.796089,-67.4502,11.41,OC,2.00
NGC2122,5.814586,-70.0701,10.43,OC,6.00
NGC2127,5.855911,-69.3591,11.37,OC,1.50
NGC2129,6.018483,23.3222,6.70,OC,3.90
NGC2133,5.857978,-71.1750,11.44,OC,1.60
NGC2134,5.866028,-71.0976,10.45,GC,2.80
NGC2136,5.882708,-69.4928,10.39,GC,2.80
NGC2139,6.018836,-23.6726,11.38,G,2.94
NGC2141,6.048628,10.4465,9.40,OC,5.40
NGC2146,6.310475,78.3570,9.93,G,5.31
NGC2156,5.963800,-68.4608,10.90,GC,2.10
NGC2157,5.959661,-69.1972,9.75,GC,2.80
NGC2158,6.123781,24.0962,8.60,OC,8.40
NGC2159,5.967744,-68.6229,11.06,GC,1.90
NGC2164,5.982294,-68.5159,9.84,GC,2.80
NGC2169,6.140097,13.9649,5.39,OC,7.20
NGC2172,6.001622,-68.6369,11.33,OC,1.70
NGC2174,6.156561,20.6596,99.00,N,40.00
NGC2175,6.160986,20.4876,6.40,OC,5.40
NGC2180,6.160069,4.7116,8.40,OC,4.20
NGC2182,6.158597,-6.3264,8.40,N,3.00
NGC2186,6.201981,5.4586,8.60,OC,4.20
NGC2188,6.169314,-34.1062,11.49,G,5.42
NGC2192,6.254842,39.8552,10.90,OC,5.40
NGC2194,6.229419,12.8067,8.43,OC,8.70
NGC2196,6.202681,-21.8059,11.19,G,2.77
NGC2203,6.078486,-75.4384,11.29,GC,3.20
NGC2204,6.258950,-18.6659,8.60,OC,6.30
NGC2207,6.272786,-21.3727,11.06,G,4.86
NGC2210,6.192044,-69.1214,10.30,GC,3.30
NGC2214,6.215814,-68.2607,10.44,OC,3.10
NGC2215,6.347014,-7.2838,8.25,OC,8.40
NGC2217,6.361050,-27.2338,10.57,G,4.63
NGC2232,6.466981,-4.8474,3.90,OC,9.90
NGC2236,6.494361,6.8307,8.48,OC,5.40
NGC2237,6.515169,5.0492,99.00,N,80.00
NGC2238,6.511214,5.0131,5.40,N,80.00
NGC2239,6.532100,4.9429,4.66,OC,9.30
NGC2243,6.492911,-31.2813,9.40,OC,5.10
NGC2245,6.544792,10.1566,10.40,N,2.00
NGC2247,6.551444,10.3223,7.90,N,2.00
NGC2250,6.563856,-5.0844,8.90,OC,5.10
NGC2251,6.577356,8.3664,7.09,OC,5.70
NGC2252,6.578603,5.3662,7.70,OC,6.60
NGC2254,6.597128,7.6733,9.10,OC,4.20
NGC2259,6.639289,10.8836,10.80,OC,6.00
NGC2262,6.660578,1.1436,10.70,OC,3.90
NGC2264,6.682847,9.8955,3.90,OC,11.40
NGC2266,6.722003,26.9696,9.50,OC,4.20
NGC2269,6.721411,4.6243,9.82,OC,4.80
NGC2276,7.453989,85.7546,11.39,G,2.23
NGC2280,6.746975,-27.6386,10.46,G,6.53
NGC2281,6.804956,41.0789,5.40,OC,10.80
NGC2282,6.780992,1.3160,9.40,N,3.00
NGC2286,6.794492,-3.1477,7.50,OC,5.40
NGC2292,6.794347,-26.7462,11.23,G,4.34
NGC2293,6.795253,-26.7544,11.04,G,4.41
NGC2298,6.816444,-36.0053,8.89,GC,4.80
NGC2299,6.864911,-7.0827,8.46,OC,4.80
NGC2300,7.538881,85.7095,11.16,G,3.05
NGC2301,6.862583,0.4592,5.70,OC,10.20
NGC2304,6.919892,17.9928,10.00,OC,4.80
NGC2309,6.934336,-7.1743,10.50,OC,5.40
NGC2310,6.898322,-40.8626,11.35,G,4.52
NGC2311,6.963208,-4.6113,9.60,OC,6.00
NGC2319,7.008947,3.0422,11.16,OC,6.00
NGC2324,7.068878,1.0446,8.23,OC,8.70
NGC2325,7.044556,-28.6972,11.18,G,3.97
NGC2331,7.116619,27.2616,8.50,OC,4.80
NGC2335,7.113736,-10.0286,7.16,OC,8.70
NGC2336,7.451125,80.1781,10.59,G,5.01
NGC2343,7.135222,-10.6168,6.45,OC,7.50
NGC2345,7.138553,-13.1937,7.70,OC,6.90
NGC2346,7.156392,-0.8091,11.20,PN,0.87
NGC2353,7.241753,-10.2659,6.70,OC,6.60
NGC2354,7.234797,-25.6889,6.50,OC,4.80
NGC2355,7.283128,13.7499,9.70,OC,6.00
NGC2360,7.295311,-15.6413,7.02,OC,9.00
NGC2362,7.311519,-24.9542,4.10,OC,7.20
NGC2366,7.481850,69.2158,10.96,G,4.37
NGC2367,7.334594,-21.8841,7.38,OC,5.40
NGC2371,7.426294,29.4906,11.20,PN,2.20
NGC2374,7.398908,-13.2634,7.86,OC,9.00
NGC2380,7.398542,-27.5291,11.12,G,2.52
NGC2383,7.411083,-20.9476,8.28,OC,4.20
NGC2384,7.419397,-21.0199,6.87,OC,4.80
NGC2392,7.486322,20.9118,9.52,PN,0.86
NGC2395,7.453569,13.6082,8.00,OC,4.62
NGC2396,7.467478,-11.7197,7.40,OC,6.60
NGC2403,7.614278,65.6026,8.23,G,19.95
NGC2409,7.526867,-17.1904,6.88,OC,0.11
NGC2414,7.553556,-15.4539,7.73,OC,5.40
NGC2419,7.635542,38.8800,10.05,GC,4.50
NGC2420,7.639972,21.5741,8.30,OC,7.50
NGC2421,7.603281,-20.6123,8.09,OC,5.10
NGC2423,7.618536,-13.8715,6.55,OC,11.70
NGC2427,7.607828,-47.6356,11.48,G,5.74
NGC2432,7.681631,-19.0691,10.20,OC,5.40
NGC2434,7.580878,-69.2841,11.34,G,2.69
NGC2438,7.697331,-14.7358,9.50,PN,1.07
NGC2439,7.679281,-31.6924,6.71,OC,8.70
NGC2440,7.698711,-18.2085,9.40,PN,0.27
NGC2442,7.606622,-69.5308,10.63,G,4.68
NGC2451,7.754169,-37.9674,9.44,OC,37.50
NGC2453,7.792814,-27.1948,7.79,OC,3.00
NGC2455,7.816278,-21.2979,10.20,OC,4.50
NGC2477,7.869383,-38.5333,5.80,OC,18.60
NGC2479,7.918353,-17.7078,9.60,OC,6.30
NGC2482,7.919547,-24.2546,7.11,OC,6.60
NGC2483,7.927442,-27.8868,7.29,OC,3.30
NGC2489,7.937483,-30.0608,7.90,OC,4.20
NGC2506,8.000494,-10.7696,7.60,OC,10.80
NGC2509,8.013283,-19.0505,9.30,OC,4.80
NGC2516,7.968628,-60.7535,3.24,OC,24.30
NGC2520,8.082828,-28.1467,6.21,OC,9.30
NGC2525,8.093900,-11.4270,11.47,G,3.08
NGC2533,8.117806,-29.8839,7.59,OC,4.98
NGC2539,8.176939,-12.8207,6.45,OC,12.30
NGC2546,8.204342,-37.5943,5.86,OC,16.50
NGC2547,8.169303,-49.2057,4.15,OC,7.80
NGC2549,8.316208,57.8031,11.14,G,3.63
NGC2559,8.285019,-27.4558,11.09,G,2.81
NGC2566,8.312683,-25.4995,10.81,G,3.98
NGC2567,8.309772,-30.6356,7.17,OC,6.00
NGC2571,8.315653,-29.7493,6.56,OC,7.20
NGC2580,8.357750,-30.2935,9.70,OC,3.00
NGC2587,8.390022,-29.5087,9.20,OC,6.00
NGC2613,8.556344,-22.9737,10.38,G,7.62
NGC2627,8.620817,-29.9504,8.40,OC,5.40
NGC2635,8.640553,-34.7716,11.20,OC,5.10
NGC2640,8.623506,-55.1238,11.02,G,4.67
NGC2645,8.650867,-46.2273,6.91,OC,6.60
NGC2655,8.927147,78.2231,10.38,G,3.93
NGC2658,8.724261,-32.6562,9.20,OC,7.20
NGC2659,8.709172,-45.0005,8.15,OC,5.10
NGC2660,8.710553,-47.2007,8.45,OC,3.60
NGC2663,8.752292,-33.7948,10.59,G,3.90
NGC2669,8.772936,-52.9475,5.75,OC,8.40
NGC2670,8.758189,-48.7916,7.71,OC,4.20
NGC2681,8.892428,51.3137,10.55,G,3.97
NGC2683,8.878147,33.4217,9.39,G,9.48
NGC2685,8.926308,58.7344,11.35,G,4.33
NGC2715,9.135056,78.0852,11.44,G,4.20
NGC2736,9.004706,-45.9481,99.00,N,30.00
NGC2742,9.125981,60.4793,11.48,G,2.86
NGC2768,9.193750,60.0372,9.87,G,5.64
NGC2775,9.172256,7.0379,10.24,G,4.25
NGC2784,9.205417,-24.1726,10.10,G,4.82
NGC2787,9.321833,69.2032,11.00,G,3.24
NGC2805,9.339003,64.1028,11.19,G,3.39
NGC2808,9.200706,-64.8628,5.69,GC,9.00
NGC2811,9.269753,-16.3127,11.45,G,3.05
NGC2822,9.230478,-69.6448,11.02,G,3.96
NGC2835,9.298031,-22.3547,10.46,G,6.43
NGC2841,9.367397,50.9765,9.46,G,6.90
